city,lat,lng,country,population
Irati,-25.47,-50.66,Brazil,45830
Newark,37.5204,-122.0312,United States,45810
Coihaique,-45.57,-72.07,Chile,45787
Mae Sot,16.7162,98.5708,Thailand,45781
Wajir,1.7504,40.05,Kenya,45771
Marion,40.5933,-83.1237,United States,45718
Mozdok,43.7543,44.6544,Russia,45702
Buta,2.82,24.74,Congo (Kinshasa),45677
Volkhov,59.9291,32.3387,Russia,45673
Maricopa,33.0447,-112.0164,United States,45666
Puttalan,8.033,79.826,Sri Lanka,45661
Komatini,41.1333,25.4167,Greece,45631
Shaoyang,27,111.2001,China,45617
Dublin,40.1112,-83.1451,United States,45568
Yefremov,53.1491,38.1215,Russia,45497
Hollister,36.8564,-121.3981,United States,45496
Oroville,39.5,-121.5647,United States,45445
Birak,27.5333,14.2834,Libya,45421
Liberia,10.6338,-85.4333,Costa Rica,45380
Solola,14.773,-91.183,Guatemala,45373
Olbia,40.9143,9.5151,Italy,45366
Joliette,46.0333,-73.4333,Canada,45361
Beaumont,33.9052,-116.976,United States,45349
Dedougou,12.455,-3.464,Burkina Faso,45341
Salcedo,19.383,-70.4167,Dominican Republic,45299
Fort Pierce,27.4263,-80.3421,United States,45295
Manitowoc,44.099,-87.6812,United States,45261
Rida,14.4295,44.8341,Yemen,45233
Cameta,-2.2396,-49.51,Brazil,45200
Shebekino,50.4144,36.8944,Russia,45194
Chernyakhovsk,54.6316,21.8109,Russia,45187
Inverness,57.4671,-4.2333,United Kingdom,45158
Quincy,39.9335,-91.3796,United States,45113
Leiria,39.739,-8.805,Portugal,45112
Eureka,40.7941,-124.1568,United States,45091
Iganga,0.6092,33.4686,Uganda,45024
Burleson,32.52,-97.3341,United States,45016
Shahhat,32.8281,21.8622,Libya,45000
Usinsk,65.923,57.403,Russia,45000
Itanagar,27.1004,93.6166,India,44971
Coachella,33.691,-116.1451,United States,44953
Sayreville,40.4655,-74.3237,United States,44905
Vallenar,-28.57,-70.76,Chile,44895
Piripiri,-4.2696,-41.79,Brazil,44864
Angol,-37.79,-72.71,Chile,44856
Ocoee,28.5785,-81.5336,United States,44820
Strezhevoy,60.7332,77.5777,Russia,44784
Hackensack,40.8889,-74.0461,United States,44756
Sisaket,15.1203,104.3298,Thailand,44751
Chone,-0.6896,-80.09,Ecuador,44751
Beaufort West,-32.3496,22.57,South Africa,44737
Cutler Bay,25.5765,-80.3357,United States,44707
Linden,5.99,-58.27,Guyana,44690
Artemovskiy,57.3652,61.8698,Russia,44689
Cleveland Heights,41.5112,-81.5636,United States,44633
Danville,37.8121,-121.9698,United States,44631
Strongsville,41.3128,-81.8313,United States,44631
Kabale,-1.2496,29.98,Uganda,44600
Kamenna Obi,53.7936,81.3388,Russia,44564
Akhtubinsk,48.2787,46.1687,Russia,44551
Bothell,47.774,-122.2039,United States,44546
Trollhattan,58.2671,12.3,Sweden,44543
Zvolen,48.5837,19.1332,Slovakia,44502
Farmington,37.782,-90.4287,United States,44494
Camocim,-2.9,-40.85,Brazil,44481
Cobija,-11.0333,-68.7333,Bolivia,44437
Aliwal North,-30.6896,26.71,South Africa,44436
Attleboro,41.9311,-71.295,United States,44434
Del Rio,29.3706,-100.8798,United States,44414
Umm al Qaywayn,25.5653,55.5533,United Arab Emirates,44411
Huancavelica,-12.79,-74.99,Peru,44388
Bluefields,12,-83.7649,Nicaragua,44373
Haltom City,32.8176,-97.2707,United States,44361
Oakland Park,26.1779,-80.1527,United States,44326
Aracati,-4.56,-37.77,Brazil,44293
Selma,36.5743,-119.6156,United States,44292
Roskilde,55.65,12.0833,Denmark,44285
Villa Constitucion,-33.23,-60.35,Argentina,44271
Atar,20.5166,-13.05,Mauritania,44265
Winneba,5.3504,-0.63,Ghana,44254
Parnu,58.3747,24.5136,Estonia,44192
Taree,-31.8976,152.4618,Australia,44182
Roseburg,43.2228,-123.3519,United States,44176
Morgan Hill,37.1324,-121.641,United States,44155
Padangpanjang,-0.4496,100.4167,Indonesia,44096
Chitre,7.97,-80.42,Panama,44082
Bountiful,40.8722,-111.8647,United States,44078
Pinehurst,35.1922,-79.4682,United States,44070
Inhumas,-16.36,-49.5,Brazil,44058
Port Vila,-17.7334,168.3166,Vanuatu,44040
Timashevsk,45.6247,38.9444,Russia,44024
Alapayevsk,57.8465,61.6915,Russia,44000
Voznesensk,47.5504,31.3333,Ukraine,43996
Belleville,44.1667,-77.3833,Canada,43990
Naivasha,-0.7096,36.43,Kenya,43983
Hagere Hiywet,8.9804,37.85,Ethiopia,43920
Nabire,-3.3515,135.5134,Indonesia,43898
Comendador,18.876,-71.707,Dominican Republic,43894
North Miami Beach,25.9302,-80.166,United States,43891
Salinas,-2.2,-80.98,Ecuador,43862
Adrian,41.8994,-84.0447,United States,43850
Batouri,4.4337,14.3666,Cameroon,43821
Lombard,41.8739,-88.0158,United States,43815
Oro Valley,32.4226,-110.9767,United States,43781
Stevens Point,44.524,-89.5506,United States,43735
Lancaster,39.7249,-82.6049,United States,43726
Basoko,1.2404,23.59,Congo (Kinshasa),43709
North Lauderdale,26.2113,-80.2209,United States,43699
Rockwall,32.9169,-96.4379,United States,43586
Kingman,35.2168,-114.0167,United States,43548
Novozybkov,52.5348,31.9449,Russia,43534
Phatthalung,7.615,100.081,Thailand,43522
Hutchinson,38.0672,-97.9083,United States,43507
Altamonte Springs,28.6616,-81.395,United States,43492
Marana,32.4355,-111.1558,United States,43474
Sambava,-14.2662,50.1666,Madagascar,43465
Imbituba,-28.2296,-48.66,Brazil,43450
Ararangua,-28.94,-49.5,Brazil,43444
Oyem,1.6166,11.5833,Gabon,43423
Volksrust,-27.3596,29.89,South Africa,43378
Clovis,34.4375,-103.1924,United States,43327
Desert Hot Springs,33.955,-116.543,United States,43327
Nizhneudinsk,54.8977,99.0277,Russia,43326
Sovetsk,55.0718,21.882,Russia,43309
Freeport,40.6515,-73.585,United States,43279
Al Wajh,26.2324,36.4636,Saudi Arabia,43237
Wanganui,-39.9326,175.0393,New Zealand,43200
Vichy,46.1171,3.4167,France,43158
Ambatondrazaka,-17.8329,48.4167,Madagascar,43134
Salem,42.513,-70.9021,United States,43132
Mariinsk,56.2108,87.7604,Russia,43122
Krasnoufimsk,56.5991,57.7586,Russia,43121
Macenta,8.5504,-9.48,Guinea,43102
Banjul,13.4539,-16.5917,"Gambia, The",43094
Lubao,-5.3896,25.75,Congo (Kinshasa),43068
Urbandale,41.639,-93.7814,United States,43018
Bluefield,37.2602,-81.217,United States,43012
Puerto Cabezas,14.0333,-83.3834,Nicaragua,43001
Yendi,9.4337,-0.0167,Ghana,42972
Franceville,-1.6333,13.5833,Gabon,42967
San Bruno,37.6254,-122.4313,United States,42957
Plainfield,41.6202,-88.2258,United States,42933
Ventspils,57.3899,21.5606,Latvia,42884
Ergun Zuoqi,50.7833,121.5167,China,42849
Riverton,40.5176,-111.9635,United States,42838
Concord,43.2307,-71.5595,United States,42821
Bell Gardens,33.9663,-118.155,United States,42806
Klamath Falls,42.2193,-121.7755,United States,42791
Tehuantepec,16.33,-95.23,Mexico,42776
Peachtree Corners,33.9668,-84.2321,United States,42773
Leander,30.5707,-97.8587,United States,42761
Richmond,39.8318,-84.8904,United States,42759
San Antonio de los Banos,22.8911,-82.4991,Cuba,42724
Caninde,-4.35,-39.31,Brazil,42720
Fort Portal,0.671,30.275,Uganda,42670
Arys,42.4369,68.8048,Kazakhstan,42648
Montemorelos,25.19,-99.84,Mexico,42640
Mango,10.3596,0.4708,Togo,42626
Rohnert Park,38.348,-122.6964,United States,42622
Nukualofa,-21.1385,-175.2206,Tonga,42620
Fairfield,39.3301,-84.5405,United States,42617
Cabo San Lucas,22.8928,-109.9045,Mexico,42601
Hulin,45.769,132.9922,China,42559
Clarksburg,39.2862,-80.323,United States,42552
Brentwood,35.9917,-86.7759,United States,42517
Prescott,34.5799,-112.4476,United States,42513
Little Elm,33.1792,-96.9284,United States,42504
Moorhead,46.8674,-96.7457,United States,42492
Partizansk,43.1349,133.1349,Russia,42489
Brea,33.9255,-117.8654,United States,42471
Dieppe,49.9337,1.0833,France,42461
Linden,40.6251,-74.238,United States,42457
Shu,43.5953,73.7448,Kazakhstan,42439
Rancho Palos Verdes,33.7554,-118.3636,United States,42435
The Colony,33.0926,-96.8977,United States,42408
Charlottetown,46.2493,-63.1313,Canada,42402
Kotabumi,-4.8333,104.9,Indonesia,42366
Mercedes,-33.2595,-58.03,Uruguay,42359
Winder,33.9918,-83.7218,United States,42330
Kapan,39.2015,46.415,Azerbaijan,42288
Nandi,-17.7996,177.4166,Fiji,42284
Greenwood,34.1944,-82.1541,United States,42279
Mansa,-11.2,28.89,Zambia,42277
Moline,41.4825,-90.4917,United States,42250
Lovec,43.138,24.719,Bulgaria,42211
Sokol,59.4648,40.1144,Russia,42174
Qapshaghay,43.8844,77.0687,Kazakhstan,42167
Ormond Beach,29.2951,-81.0999,United States,42162
Salgueiro,-8.0596,-39.13,Brazil,42152
Kearny,40.7526,-74.1202,United States,42126
Sdid Bouzid,35.0167,9.5,Tunisia,42098
Penedo,-10.2696,-36.58,Brazil,42097
Zanesville,39.9567,-82.0133,United States,42097
Castro,-24.79,-50.01,Brazil,42091
Goose Creek,32.992,-80.0063,United States,42039
Miercurea Cuic,46.361,25.524,Romania,42029
Yemanzhelinsk,54.7489,61.2935,Russia,42023
Urbana,40.1106,-88.1972,United States,42014
Moatize,-16.0995,33.95,Mozambique,42000
McMinnville,45.211,-123.1918,United States,41998
Tizimin,21.1304,-88.15,Mexico,41993
Brumado,-14.21,-41.67,Brazil,41989
Winter Garden,28.543,-81.5944,United States,41988
Lindi,-10,39.7,Tanzania,41912
Artigas,-30.416,-56.486,Uruguay,41909
Belleville,38.515,-89.9865,United States,41906
Edmonds,47.8114,-122.3534,United States,41840
Lesozavodsk,45.4748,133.4298,Russia,41778
Uryupinsk,50.7734,42.0031,Russia,41644
Cotui,19.059,-70.152,Dominican Republic,41641
Gay,51.4747,58.4543,Russia,41619
Westfield,42.1382,-72.7561,United States,41552
Marion,40.5497,-85.66,United States,41550
Chiquimula,14.797,-89.544,Guatemala,41521
Auxerre,47.8004,3.5666,France,41516
Victoriaville,46.0504,-71.9667,Canada,41500
Jaguaquara,-13.53,-39.97,Brazil,41498
Canoinhas,-26.18,-50.4,Brazil,41498
Jamestown,42.0975,-79.2366,United States,41492
Zaraza,9.3404,-65.32,Venezuela,41483
Manassas,38.748,-77.484,United States,41483
Pottsville,40.6798,-76.2092,United States,41479
Lushnje,40.94,19.716,Albania,41469
Grand Prairie,55.1666,-118.8,Canada,41462
Lusambo,-4.9696,23.43,Congo (Kinshasa),41416
Woonsocket,42.001,-71.4993,United States,41406
Cedar Falls,42.5197,-92.4532,United States,41390
San,13.3004,-4.9,Mali,41386
Beverly,42.5681,-70.8627,United States,41365
Coppell,32.9639,-96.9907,United States,41360
Faro,37.0171,-7.9333,Portugal,41355
Buffalo Grove,42.1673,-87.9615,United States,41346
Shelton,41.306,-73.1383,United States,41334
Weatherford,32.7547,-97.7665,United States,41333
Saurimo,-9.6596,20.39,Angola,41316
Zelenokumsk,44.4091,43.8787,Russia,41306
Garca,-22.22,-49.66,Brazil,41302
Minas,-34.37,-55.23,Uruguay,41180
Bartlett,41.9804,-88.2074,United States,41178
Villarrica,-25.75,-56.4333,Paraguay,41157
Mityana,0.4004,32.05,Uganda,41131
Muskogee,35.743,-95.3567,United States,41117
Cao Bang,22.664,106.268,Vietnam,41112
Palmeira dos Indios,-9.4166,-36.6166,Brazil,41095
Ita,-25.5096,-57.36,Paraguay,41090
Centralia,46.7226,-122.9695,United States,41077
Hobbs,32.7281,-103.1597,United States,41021
Birsk,55.4244,55.5444,Russia,41014
Bastia,42.7032,9.45,France,41001
Salinopolis,-0.6095,-47.34,Brazil,40998
La Quinta,33.6537,-116.2785,United States,40956
Campbell,37.2803,-121.9543,United States,40939
Frutal,-20.03,-48.94,Brazil,40931
Frolovo,49.7722,43.6518,Russia,40882
Buzmeyin,38.0517,58.21,Turkmenistan,40813
Chapadinha,-3.7395,-43.36,Brazil,40804
Aquidauana,-20.4696,-55.79,Brazil,40803
Covington,39.0334,-84.5166,United States,40797
Torrington,41.8349,-73.1282,United States,40710
Bom Jesus da Lapa,-13.2495,-43.44,Brazil,40691
Puyallup,47.1794,-122.2901,United States,40640
Oakley,37.9929,-121.6951,United States,40622
Shakopee,44.7745,-93.4763,United States,40610
Wilkes-Barre,41.2468,-75.8759,United States,40569
Spring Hill,35.7436,-86.912,United States,40552
Balykchy,42.456,76.1854,Kyrgyzstan,40527
Alta Floresta,-9.9,-55.91,Brazil,40466
Fitchburg,42.5912,-71.8156,United States,40414
San Gabriel,34.0948,-118.099,United States,40404
Huaura,-11.06,-77.6,Peru,40400
Pyu,18.4779,96.4379,Burma,40386
Alta Gracia,-31.66,-64.43,Argentina,40384
Yambio,4.5705,28.4163,South Sudan,40382
La Puente,34.0323,-117.9533,United States,40377
Crystal Lake,42.233,-88.3352,United States,40339
Haugesund,59.4119,5.2775,Norway,40321
Mirnyy,62.54,113.9614,Russia,40308
Bilecik,40.15,29.983,Turkey,40285
Holyoke,42.2126,-72.6411,United States,40280
Hon Quan,11.6504,106.6,Vietnam,40279
Arawa,-6.228,155.566,Papua New Guinea,40266
Calexico,32.6849,-115.4944,United States,40232
Bozoum,6.317,16.3833,Central African Republic,40201
Streamwood,42.0209,-88.1778,United States,40166
Junction City,39.0268,-96.8495,United States,40157
Maplewood,44.984,-93.0247,United States,40150
Statesboro,32.4376,-81.775,United States,40141
Orongen Zizhiqi,50.5667,123.7167,China,40128
Luga,58.7363,29.839,Russia,40114
Inongo,-1.94,18.28,Congo (Kinshasa),40113
Wake Forest,35.963,-78.5144,United States,40112
Ali Sabih,11.1562,42.7125,Djibouti,40074
Carol Stream,41.9183,-88.1309,United States,40069
Altagracia de Orituco,9.8504,-66.38,Venezuela,40052
Weslaco,26.1669,-97.9859,United States,40033
Raub,3.7927,101.8423,Malaysia,40024
Kaya,13.0904,-1.09,Burkina Faso,40017
Pogradec,40.9,20.664,Albania,40000
Tombua,-15.8,11.86,Angola,40000
Salama,15.103,-90.314,Guatemala,40000
Hanggin Houqi,40.8847,107.14,China,39954
Apache Junction,33.3982,-111.5349,United States,39954
Ob,54.998,82.7077,Russia,39949
Yian,47.8804,125.3,China,39924
Ciudad Constitucion,25.04,-111.66,Mexico,39915
Warren,41.2389,-80.8177,United States,39898
Uray,60.1401,64.7548,Russia,39878
New Castle,40.9956,-80.3458,United States,39873
Alekseyevka,50.6535,38.6931,Russia,39848
Bartlesville,36.7356,-95.9451,United States,39848
New Berlin,42.9726,-88.1292,United States,39803
Daman,20.417,72.85,India,39737
Grove City,39.8665,-83.0703,United States,39721
Laguna,-28.48,-48.78,Brazil,39711
Romeoville,41.631,-88.1014,United States,39706
Mochudi,-24.377,26.152,Botswana,39700
Goroka,-6.0833,145.3855,Papua New Guinea,39699
Chelsea,42.3959,-71.0325,United States,39699
Marlborough,42.3494,-71.5468,United States,39697
Perth,56.4003,-3.47,United Kingdom,39654
Salgotarjan,48.105,19.826,Hungary,39640
Zacatecoluca,13.508,-88.868,El Salvador,39613
Bogoroditsk,53.7747,38.1144,Russia,39553
Tozeur,33.9304,8.13,Tunisia,39504
Hallandale Beach,25.9854,-80.1423,United States,39500
Asheboro,35.7159,-79.8128,United States,39496
Tavda,58.0537,65.2583,Russia,39480
Meridian,32.3846,-88.6896,United States,39478
Huntsville,30.705,-95.5545,United States,39476
Russas,-4.94,-37.98,Brazil,39465
Duncanville,32.646,-96.9127,United States,39457
Schertz,29.5652,-98.2541,United States,39453
Woburn,42.4868,-71.1543,United States,39452
Borlange,60.4833,15.4167,Sweden,39422
Annapolis,38.9705,-76.5047,United States,39418
Friendswood,29.5109,-95.198,United States,39396
Antigua Guatemala,14.5667,-90.7333,Guatemala,39368
Culver City,34.0058,-118.3968,United States,39364
Oviedo,28.6576,-81.1869,United States,39337
Orange,-33.28,149.1,Australia,39329
Roi Et,16.051,103.655,Thailand,39328
Kirov,54.0852,34.3048,Russia,39319
Pacasmayo,-7.4006,-79.5706,Peru,39282
Richmond,37.724,-84.2928,United States,39267
Upper Hutt,-41.1355,175.029,New Zealand,39200
Hurst,32.8353,-97.1808,United States,39160
Palmas,-26.48,-52,Brazil,39150
Caibarien,22.5158,-79.4722,Cuba,39140
Guiglo,6.5505,-7.49,C𴥠DӉvoire,39134
Vichuga,57.2191,41.9287,Russia,39071
Pacifica,37.6112,-122.4781,United States,39062
Kyle,30.0015,-97.8629,United States,39060
Germantown,35.083,-89.7824,United States,39056
Frankfort,38.1924,-84.8644,United States,39034
Toumodi,6.552,-5.019,C𴥠DӉvoire,39005
Xam Nua,20.4167,104.0333,Laos,38992
Westerville,40.1241,-82.9205,United States,38985
Northglenn,39.9107,-104.9783,United States,38982
Keizer,45.0028,-123.0242,United States,38980
Mineiros,-17.5695,-52.56,Brazil,38951
Lake Oswego,45.4129,-122.7002,United States,38945
Montclair,34.0714,-117.6981,United States,38944
Tonsberg,59.264,10.421,Norway,38914
Pinheiro,-2.5196,-45.09,Brazil,38893
Dundalk,54.0004,-6.4167,Ireland,38884
Asha,54.998,57.2726,Russia,38883
Joacaba,-27.17,-51.5,Brazil,38876
Lancaster,32.5922,-96.7737,United States,38867
Spanish Fork,40.11,-111.6407,United States,38861
Tshela,-4.9696,12.93,Congo (Kinshasa),38845
Bukama,-9.2096,25.84,Congo (Kinshasa),38770
Guryevsk,54.2981,85.9377,Russia,38757
Pleasant Grove,40.3714,-111.7411,United States,38756
Caloundra,-26.8,153.1333,Australia,38706
Stanton,33.8002,-117.9935,United States,38644
Delaware,40.287,-83.0749,United States,38643
Butler,40.8615,-79.8962,United States,38588
Tamworth,-31.1026,150.9171,Australia,38551
Phrae,18.1533,100.1629,Thailand,38538
Millerovo,48.9379,40.3974,Russia,38527
Kerkira,39.6154,19.9147,Greece,38517
Tskhinvali,42.2325,43.975,Georgia,38502
Marion,42.0444,-91.5853,United States,38480
Ruyigi,-3.481,30.244,Burundi,38458
Enterprise,31.3276,-85.8459,United States,38431
Sassandra,4.9504,-6.0833,C𴥠DӉvoire,38411
Milton,34.1353,-84.3138,United States,38411
Kaka,37.3503,59.6,Turkmenistan,38381
Ha Giang,22.8337,104.9833,Vietnam,38362
Rezekne,56.5,27.3166,Latvia,38340
Wheeling,42.1308,-87.9239,United States,38315
Brighton,39.9719,-104.7958,United States,38314
Chur,46.85,9.5,Switzerland,38293
Carpentersville,42.1227,-88.2894,United States,38291
Razgrad,43.534,26.536,Bulgaria,38285
Martinez,37.9985,-122.116,United States,38259
Indian Trail,35.0697,-80.646,United States,38222
Rock Island,41.4699,-90.5827,United States,38210
Oswego,43.4516,-76.5005,United States,38208
Roy,41.1716,-112.0479,United States,38201
Plant City,28.0145,-82.1202,United States,38200
London,37.1209,-84.0804,United States,38130
Tenkodogo,11.7804,-0.3697,Burkina Faso,38108
Lynnwood,47.8285,-122.3034,United States,38092
Carnot,4.9337,15.8666,Central African Republic,38071
Maroantsetra,-15.4333,49.7333,Madagascar,38046
Hanover Park,41.9819,-88.1447,United States,38044
Flores,16.9337,-89.8833,Guatemala,38035
Salekhard,66.535,66.61,Russia,38025
Huber Heights,39.8595,-84.113,United States,38019
Brookfield,43.064,-88.1231,United States,38016
Royal Palm Beach,26.7046,-80.2246,United States,38006
Castries,14.002,-61,Saint Lucia,37963
Remanso,-9.5996,-42.11,Brazil,37945
Kapiri Mposhi,-13.9696,28.66,Zambia,37942
Constitucion,-35.3296,-72.42,Chile,37917
Newnan,33.3763,-84.7758,United States,37912
Qaratau,43.1854,70.46,Kazakhstan,37881
Mount Pleasant,43.5966,-84.7758,United States,37877
Columbia,35.6223,-87.048,United States,37845
Nanuque,-17.84,-40.35,Brazil,37824
Al Bayda,13.979,45.574,Yemen,37821
Lake Worth,26.6195,-80.0592,United States,37812
Dori,14.034,-0.028,Burkina Faso,37806
Ciudad Camargo,27.6904,-105.1701,Mexico,37743
Uglich,57.5244,38.33,Russia,37732
Aventura,25.9566,-80.1371,United States,37724
Penticton,49.5004,-119.5833,Canada,37721
Juanjui,-7.1696,-76.74,Peru,37715
Valley Stream,40.6647,-73.7044,United States,37673
Aboisso,5.4667,-3.2,C𴥠DӉvoire,37654
Los Banos,37.0631,-120.8405,United States,37584
Fort Lee,40.8507,-73.9711,United States,37577
Sydney,46.0661,-60.18,Canada,37538
Reo,12.3335,-2.4669,Burkina Faso,37535
Park Ridge,42.0125,-87.8436,United States,37496
Orillia,44.6,-79.4167,Canada,37483
Albertville,34.2631,-86.2106,United States,37451
Reynoldsburg,39.9588,-82.7943,United States,37449
Juticalpa,14.6704,-86.23,Honduras,37442
Wentzville,38.8165,-90.8671,United States,37395
Kasulu,-4.5796,30.1,Tanzania,37349
Diamantina,-18.24,-43.61,Brazil,37343
Tynda,55.1743,124.7076,Russia,37335
San Vicente,13.641,-88.785,El Salvador,37326
Issaquah,47.5414,-122.0436,United States,37322
'Ataq,14.55,46.8,Yemen,37315
Westfield,40.0314,-86.1539,United States,37221
Villazon,-22.0796,-65.6,Bolivia,37215
Mangai,-4.0396,19.53,Congo (Kinshasa),37188
Phenix City,32.4586,-85.025,United States,37132
Monrovia,34.165,-117.9921,United States,37126
Sibenik,43.7272,15.9058,Croatia,37112
Qulsary,46.9833,54.0165,Kazakhstan,37103
Rayong,12.6718,101.2815,Thailand,37035
Kampene,-3.5995,26.67,Congo (Kinshasa),37034
Dubrovnik,42.6609,18.0914,Croatia,36994
Rosenberg,29.5402,-95.8158,United States,36937
Chimboy,42.9311,59.7708,Uzbekistan,36917
Addison,41.9314,-88.0086,United States,36902
Moss,59.437,10.6692,Norway,36901
Greenfield,42.9619,-88.005,United States,36858
Kalgoorlie,-30.7354,121.46,Australia,36852
Morondava,-20.2833,44.2833,Madagascar,36803
Menomonee Falls,43.1487,-88.1227,United States,36769
Calumet City,41.6133,-87.5502,United States,36732
Rosario do Sul,-30.25,-54.92,Brazil,36721
Lincoln Park,42.2433,-83.181,United States,36720
Kambove,-10.8696,26.6,Congo (Kinshasa),36702
Olive Branch,34.9608,-89.8478,United States,36699
West Hollywood,34.0883,-118.3718,United States,36698
New Albany,38.3078,-85.8242,United States,36670
Kasimov,54.9435,41.3931,Russia,36663
San Juan,26.1902,-98.1522,United States,36663
Moses Lake,47.1276,-119.2762,United States,36662
Retalhuleu,14.5371,-91.677,Guatemala,36656
Serdobsk,52.4622,44.2218,Russia,36652
Nueva Rosita,27.95,-101.22,Mexico,36642
Saint Marys,30.7567,-81.5722,United States,36587
Portsmouth,38.7539,-82.9446,United States,36584
Tunduma,-9.2846,32.7749,Tanzania,36556
Bermejo,-22.7296,-64.35,Bolivia,36544
Mooresville,35.5842,-80.8246,United States,36543
Drogheda,53.7193,-6.3478,Ireland,36533
Cristalina,-16.77,-47.61,Brazil,36531
San Jose de Mayo,-34.35,-56.71,Uruguay,36529
Portage,41.5866,-87.1792,United States,36505
Zharkent,44.1616,79.9801,Kazakhstan,36496
Voi,-3.3696,38.57,Kenya,36487
Kaniama,-7.5696,24.17,Congo (Kinshasa),36481
Moorpark,34.2855,-118.877,United States,36481
Falun,60.613,15.647,Sweden,36477
Gillette,44.2793,-105.5013,United States,36446
Crestview,30.748,-86.5784,United States,36433
Tuyen Quang,21.818,105.211,Vietnam,36430
Guaira,-24.09,-54.27,Brazil,36426
Dover,51.1337,1.3,United Kingdom,36384
Dunedin,28.0328,-82.7865,United States,36381
Monaco,43.7396,7.4069,Monaco,36371
Temple City,34.1022,-118.0579,United States,36365
Kalispell,48.2155,-114.3262,United States,36304
Yirga Alem,6.7504,38.41,Ethiopia,36292
Oregon City,45.3418,-122.5938,United States,36286
Vaduz,47.1337,9.5167,Liechtenstein,36281
San Juan Capistrano,33.5009,-117.6544,United States,36276
La Grange,33.0276,-85.0383,United States,36270
Sao Francisco do Sul,-26.2396,-48.6,Brazil,36224
Slantsy,59.1116,28.0747,Russia,36209
Cleburne,32.3585,-97.4172,United States,36185
Baykonur,45.6914,63.2413,Kazakhstan,36175
Yandoon,17.0433,95.6429,Burma,36172
Nanyuki,0.0204,37.06,Kenya,36142
Severouralsk,60.1565,59.9615,Russia,36138
Franklin,42.8854,-88.0104,United States,36131
Acu,-5.5796,-36.9101,Brazil,36125
Shawnee,35.3524,-96.9647,United States,36100
Zacapa,14.972,-89.529,Guatemala,36088
Claremont,34.1259,-117.7153,United States,36059
Wildomar,33.6173,-117.2582,United States,36042
Masasi,-10.7296,38.7999,Tanzania,36032
Cottage Grove,44.8161,-92.9274,United States,36029
Kahama,-3.8196,32.58,Tanzania,36014
Guayaramerin,-10.83,-65.41,Bolivia,36008
Hato Mayor,18.764,-69.257,Dominican Republic,35999
Blagodarnyy,45.1047,43.4344,Russia,35995
Boyarka,70.767,97.5,Russia,35968
Paphos,34.7559,32.4225,Cyprus,35961
Richfield,44.8762,-93.2826,United States,35949
Cedar City,37.6834,-113.0957,United States,35921
Jipijapa,-1.3496,-80.58,Ecuador,35901
Zvishavane,-20.3296,30.05,Zimbabwe,35896
Yalutorovsk,56.6736,66.2983,Russia,35892
Valuyki,50.2091,38.0987,Russia,35887
Oak Creek,42.8803,-87.9008,United States,35881
Bell,33.9801,-118.1798,United States,35864
Beja,38.014,-7.863,Portugal,35854
Douglas,54.1504,-4.48,Isle Of Man,35854
Atbasar,51.8219,68.3477,Kazakhstan,35819
Ulaangom,49.9833,92.0666,Mongolia,35796
Owasso,36.2884,-95.8312,United States,35784
Benton,34.5769,-92.5716,United States,35775
Victoria Falls,-17.9296,25.84,Zimbabwe,35761
Phichit,16.439,100.349,Thailand,35760
Wildwood,38.5798,-90.6697,United States,35756
Manhattan Beach,33.8895,-118.3972,United States,35741
Gallatin,36.3783,-86.4697,United States,35734
Bettendorf,41.5656,-90.4764,United States,35727
Kumo,10.0457,11.2131,Nigeria,35712
Roseville,45.0155,-93.1544,United States,35691
Kualakapuas,-3.0996,114.35,Indonesia,35632
Prattville,32.4602,-86.4595,United States,35606
Winter Springs,28.689,-81.2708,United States,35599
Tibati,6.467,12.6333,Cameroon,35589
Rimouski,48.4337,-68.5167,Canada,35584
Oriximina,-1.7596,-55.87,Brazil,35581
Barreiros,-8.8296,-35.2,Brazil,35565
Sharya,58.3798,45.5094,Russia,35532
Yangambi,0.7704,24.43,Congo (Kinshasa),35531
Santa Rosa de Copan,14.77,-88.78,Honduras,35529
Nacogdoches,31.6131,-94.6527,United States,35525
Queen Creek,33.2392,-111.6397,United States,35524
Saint John's,17.118,-61.85,Antigua And Barbuda,35499
East Point,33.6696,-84.47,United States,35471
Honda,5.1903,-74.75,Colombia,35469
Pala,9.3504,14.9666,Chad,35466
Bougouni,11.4204,-7.49,Mali,35450
Xique-Xique,-10.82,-42.73,Brazil,35433
Kundian,32.4522,71.4718,Pakistan,35406
Cooper City,26.0465,-80.2866,United States,35405
Herriman,40.489,-112.0153,United States,35385
Georgetown,38.2253,-84.5481,United States,35353
Goycay,40.6534,47.7406,Azerbaijan,35348
La Barca,20.2804,-102.56,Mexico,35345
Esik,43.3691,77.4438,Kazakhstan,35319
Panuco,22.0604,-98.19,Mexico,35316
Yarumal,7.0306,-75.5905,Colombia,35315
St.-Benoit,-21.0335,55.7128,Reunion,35310
Vac,47.7837,19.1332,Hungary,35293
Forney,32.7453,-96.4496,United States,35281
Loei,17.4919,101.7315,Thailand,35273
Shumerlya,55.4848,46.4244,Russia,35230
Karlskrona,56.203,15.296,Sweden,35212
Peachtree City,33.3943,-84.5711,United States,35186
Luebo,-5.3495,21.41,Congo (Kinshasa),35183
Praya,-8.7223,116.2923,Indonesia,35183
Talas,42.5184,72.2429,Kyrgyzstan,35172
Paradise,39.7558,-121.6063,United States,35163
